address,trash_day,lat,lng
"112 7th Ave, Brooklyn, NY, USA",WED,40.6740387,-73.9759045
"112 7th Ave, Brooklyn, NY, USA",SAT,40.6740387,-73.9759045
"1121 8th Ave, Brooklyn, NY, USA",WED,40.6639703,-73.980317
"1121 8th Ave, Brooklyn, NY, USA",SAT,40.6639703,-73.980317
"113 10th St, Brooklyn, NY, USA",MON,40.6719849,-73.993867
"113 10th St, Brooklyn, NY, USA",THU,40.6719849,-73.993867
"113 8th St, Brooklyn, NY, USA",MON,40.6731241,-73.99184149999999
"113 8th St, Brooklyn, NY, USA",THU,40.6731241,-73.99184149999999
"114 10th St, Brooklyn, NY, USA",MON,40.6719857,-73.9938686
"114 10th St, Brooklyn, NY, USA",THU,40.6719857,-73.9938686
"114 12th St, Brooklyn, NY, USA",MON,40.6701015,-73.99397619999999
"114 12th St, Brooklyn, NY, USA",THU,40.6701015,-73.99397619999999
"115 8th Ave, Brooklyn, NY, USA",WED,40.672279,-73.9734129
"115 8th Ave, Brooklyn, NY, USA",SAT,40.672279,-73.9734129
"117 11th St, Brooklyn, NY, USA",MON,40.67125739999999,-73.99385509999999
"117 11th St, Brooklyn, NY, USA",THU,40.67125739999999,-73.99385509999999
"117 15th St, Brooklyn, NY, USA",MON,40.6674943,-73.992897
"117 15th St, Brooklyn, NY, USA",THU,40.6674943,-73.992897
"117 8th Ave, Brooklyn, NY, USA",WED,40.6722367,-73.9734757
"117 8th Ave, Brooklyn, NY, USA",SAT,40.6722367,-73.9734757
"118 16th St, Brooklyn, NY, USA",MON,40.6658345,-73.9918478
"118 16th St, Brooklyn, NY, USA",THU,40.6658345,-73.9918478
"118 2nd Ave, Brooklyn, NY, USA",MON,40.6718491,-73.9951236
"118 2nd Ave, Brooklyn, NY, USA",THU,40.6718491,-73.9951236
"118 7th Ave, Brooklyn, NY, USA",WED,40.67370340000001,-73.97618469999999
"118 7th Ave, Brooklyn, NY, USA",SAT,40.67370340000001,-73.97618469999999
"118 8th Ave, Brooklyn, NY, USA",WED,40.672494,-73.973963
"118 8th Ave, Brooklyn, NY, USA",SAT,40.672494,-73.973963
"119 15th St, Brooklyn, NY, USA",MON,40.6674748,-73.9927592
"119 15th St, Brooklyn, NY, USA",THU,40.6674748,-73.9927592
"119 7th Ave, Brooklyn, NY, USA",WED,40.6734018,-73.97589769999999
"119 7th Ave, Brooklyn, NY, USA",SAT,40.6734018,-73.97589769999999
"119 8th St, Brooklyn, NY, USA",MON,40.6728504,-73.9917332
"119 8th St, Brooklyn, NY, USA",THU,40.6728504,-73.9917332
"120 7th Ave, Brooklyn, NY, USA",WED,40.6736858,-73.97626509999999
"120 7th Ave, Brooklyn, NY, USA",SAT,40.6736858,-73.97626509999999
"120 8th Ave, Brooklyn, NY, USA",WED,40.6722446,-73.9738041
"120 8th Ave, Brooklyn, NY, USA",SAT,40.6722446,-73.9738041
"1201 8th Ave, Brooklyn, NY, USA",WED,40.6637323,-73.9805466
"1201 8th Ave, Brooklyn, NY, USA",SAT,40.6637323,-73.9805466
"1202 8th Ave, Brooklyn, NY, USA",WED,40.6639456,-73.9809598
"1202 8th Ave, Brooklyn, NY, USA",SAT,40.6639456,-73.9809598
"1203 8th Ave, Brooklyn, NY, USA",WED,40.6637132,-73.9806843
"1203 8th Ave, Brooklyn, NY, USA",SAT,40.6637132,-73.9806843
"1205 8th Ave, Brooklyn, NY, USA",WED,40.6635842,-73.9805925
"1205 8th Ave, Brooklyn, NY, USA",SAT,40.6635842,-73.9805925
"1207 8th Ave, Brooklyn, NY, USA",WED,40.6635651,-73.9807302
"1207 8th Ave, Brooklyn, NY, USA",SAT,40.6635651,-73.9807302
