address,trash_day
"1205 8th Ave, Brooklyn, NY, USA",SAT
"1207 8th Ave, Brooklyn, NY, USA",WED
"1207 8th Ave, Brooklyn, NY, USA",SAT
"1209 8th Ave, Brooklyn, NY, USA",WED
"1209 8th Ave, Brooklyn, NY, USA",SAT
"121 15th St, Brooklyn, NY, USA",MON
"121 15th St, Brooklyn, NY, USA",THU
"121 7th Ave, Brooklyn, NY, USA",WED
"121 7th Ave, Brooklyn, NY, USA",SAT
"121 8th Ave, Brooklyn, NY, USA",WED
"121 8th Ave, Brooklyn, NY, USA",SAT
"1211 8th Ave, Brooklyn, NY, USA",WED
"1211 8th Ave, Brooklyn, NY, USA",SAT
"1212 8th Ave, Brooklyn, NY, USA",WED
"1212 8th Ave, Brooklyn, NY, USA",SAT
"1213 8th Ave, Brooklyn, NY, USA",WED
"1213 8th Ave, Brooklyn, NY, USA",SAT
"121A 7th Ave, Brooklyn, NY, USA",WED
"121A 7th Ave, Brooklyn, NY, USA",SAT
"122 12th St, Brooklyn, NY, USA",MON
"122 12th St, Brooklyn, NY, USA",THU
"123 8th Ave, Brooklyn, NY, USA",WED
"123 8th Ave, Brooklyn, NY, USA",SAT
"123A 7th Ave, Brooklyn, NY, USA",WED
"123A 7th Ave, Brooklyn, NY, USA",SAT
"124 7th Ave, Brooklyn, NY, USA",WED
"124 7th Ave, Brooklyn, NY, USA",SAT
"125 7th Ave, Brooklyn, NY, USA",WED
"125 7th Ave, Brooklyn, NY, USA",SAT
"125 8th Ave, Brooklyn, NY, USA",WED
"125 8th Ave, Brooklyn, NY, USA",SAT
"126 10th St, Brooklyn, NY, USA",MON
"126 10th St, Brooklyn, NY, USA",THU
"126 13th St, Brooklyn, NY, USA",MON
"126 13th St, Brooklyn, NY, USA",THU
"126 14th St, Brooklyn, NY, USA",MON
"126 14th St, Brooklyn, NY, USA",THU
"126 7th Ave, Brooklyn, NY, USA",WED
"126 7th Ave, Brooklyn, NY, USA",SAT
"127 12th St, Brooklyn, NY, USA",MON
"127 12th St, Brooklyn, NY, USA",THU
"127 14th St, Brooklyn, NY, USA",MON
"127 14th St, Brooklyn, NY, USA",THU
"127 7th Ave, Brooklyn, NY, USA",WED
"127 7th Ave, Brooklyn, NY, USA",SAT
"127 9th St, Brooklyn, NY, USA",MON
"127 9th St, Brooklyn, NY, USA",THU
"128 15th St, Brooklyn, NY, USA",MON
"128 15th St, Brooklyn, NY, USA",THU
